#rho                  Ec
 4.633332769729309E+01 1.587510750223584E+13
 4.829903515422486E+01 1.792660123783479E+13
 5.043892395265316E+01 2.021459747289205E+13
 5.277721867628392E+01 2.277848334722008E+13
 5.534285438493698E+01 2.566646661508805E+13
 5.817068005855328E+01 2.893811298327305E+13
 6.130305085902542E+01 3.266779306531327E+13
 6.479196411016194E+01 3.694943699262390E+13
 6.870196867832244E+01 4.190320426764570E+13
 7.311419544294458E+01 4.768501735764585E+13
 7.813204744241618E+01 5.450047721741677E+13
 8.388940577704079E+01 6.262565986375423E+13
 9.056275215670978E+01 7.243904014658278E+13
 9.838957754710790E+01 8.447202186097852E+13
 1.076972395724738E+02 9.949180511722994E+13
 1.189499107923780E+02 1.186430432031626E+14
 1.328283931231863E+02 1.437022235968968E+14
 1.503731865459200E+02 1.775624748989008E+14
 1.732581979536270E+02 2.252278963234844E+14
 2.043592458143320E+02 2.960518137255026E+14
 2.490688272929605E+02 4.094309950007222E+14
 3.188200733978401E+02 6.119658397917462E+14
 4.428352271569332E+02 1.044120707058648E+15
 7.247494564672212E+02 2.342116749012400E+15
 1.994423316293255E+03 1.301451829919145E+16
